comment,uncertainty.level,description,variable,unit,lower,median,upper,distribution,subsystem,ranges_from_excel,version
,3,"other meat (game, rabbit)",consume_other_meat,kg / person / year,1.17,1.3,1.43,posnorm,consumption,,unchanged
,3,,P_content_pig,g P2O5 / 100 g,1.08,1.2,1.32,posnorm,animal,,unchanged
,1,,N_content_rice,g N / 100 gram product,1.1682,1.18,1.1918,posnorm,consumption,,unchanged
,3,,K_yield_fodder_peas,share K in dm,0.010485,0.01165,0.012815,tnorm_0_1,crop,no,unchanged
,3,,K_yield_beans,share K in dm,0.010485,0.01165,0.012815,tnorm_0_1,crop,no,unchanged
,3,,K_leftover_winter_wheat,kg K / FM dt,1.044,1.16,1.276,posnorm,crop,no,unchanged
,3,,K_leftover_summer_wheat,kg K / FM dt,1.044,1.16,1.276,posnorm,crop,no,unchanged
,3,,K_leftover_rye,kg K / FM dt,1.044,1.16,1.276,posnorm,crop,no,unchanged
is this the ratio yield : leftover,1,Mais silage,yield_share_mais_silage,kg yield / FM dt,1,1,1,const,crop,no,unchanged
,4,Rye,rye_to_animal,,1,1,1,const,crop,no,unchanged
,4,Winter barley,winter_barley_to_animal,,1,1,1,const,crop,no,unchanged
,4,Triticale,triticale_to_animal,,1,1,1,const,crop,no,unchanged
,4,Fodder peas,fodder_peas_to_animal,,1,1,1,const,crop,no,unchanged
,4,Beans,beans_to_animal,,1,1,1,const,crop,no,unchanged
,4,Winter wheat,winter_wheat_to_consumption,,1,1,1,const,crop,no,unchanged
,4,Summer wheat,summer_wheat_to_consumption,,1,1,1,const,crop,no,unchanged
,4,Corn,corn_to_consumption,,1,1,1,const,crop,no,unchanged
,1,,N_content_rye,g N / 100 gram product,1.0989,1.11,1.1211,posnorm,consumption,,unchanged
,3,,P_content_poultry,g P2O5 / 100 g,0.99,1.1,1.21,posnorm,animal,,unchanged
,3,,consume_legumes,kg / person / year,0.99,1.1,1.21,posnorm,consumption,,unchanged
,3,,consume_honey,kg / person / year,0.99,1.1,1.21,posnorm,consumption,,unchanged
I do not recognize this variable. Your comment suggest it would be uncertainty level 4.,4,set range by myselg because othewise too large upper end,lossrate_K_wastewater,kg lossrate / FM dt,0.961,0.98,0.99,tnorm_0_1,waste,yes,unchanged
,1,veggie_peas,N_content_veggie_peas_gr_100gr,g N / 100 gram product,1.0395,1.05,1.0605,posnorm,crop,no,unchanged
,1,,N_content_legumes,g N / 100 gram product,1.0395,1.05,1.0605,posnorm,consumption,,unchanged
,1,,N_content_condensed_milk,g N / 100 gram product,1.0098,1.02,1.0302,posnorm,consumption,,unchanged
"N‰hrstoffbericht 2017, Table 3, p.27",4,share of cattle kept on liquid manure catchment systems,cattle_on_slurry,share,0.744,0.93,0.99,tnorm_0_1,animal,,
,1,total share of arable land,share_crop_land,share of total agricultural area,0.877,0.877,0.877,const,crop,no,2020
,1,,convert_potassium_oxide_to_k,conversion factor,0.8301,0.8301,0.8301,const,,,unchanged
,1,Oilseed rape,dm_oilseed_rape,,0.9009,0.91,0.9191,tnorm_0_1,crop,no,unchanged
,1,Corn,N_leftover_corn,kg N / FM dt,0.891,0.9,0.909,posnorm,crop,no,unchanged
,3,sheep and goat meat,consume_sheep,kg / person / year,0.81,0.9,0.99,posnorm,consumption,,unchanged
,3,,K_yield_oilseed_rape,share K in dm,0.007785,0.00865,0.009515,tnorm_0_1,crop,no,unchanged
,1,Winter wheat,dm_winter_wheat,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Summer wheat,dm_summer_wheat,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Rye,dm_rye,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Winter barley,dm_winter_barley,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Summer barley,dm_summer_barley,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Oat,dm_oat,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Triticale,dm_triticale,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Corn,dm_corn,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Fodder peas,dm_fodder_peas,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
,1,Beans,dm_beans,,0.8514,0.86,0.8686,tnorm_0_1,crop,no,unchanged
is this variable used?,1,calculated based on total milk,share_milk_to_factory,share,0.82566,0.834,0.84234,tnorm_0_1,animal,no,2020
,4,Mais silage,mais_silage_to_animal,,0.75,0.75,0.75,const,crop,no,unchanged
,4,Potato,potato_to_ponsumption,,0.75,0.75,0.75,const,crop,no,unchanged
,1,Mais silage,N_yield_mais_silage,kg N / FM dt,0.792,0.8,0.808,posnorm,crop,no,unchanged
"N‰hrstoffbericht 2017, Table 3, p.27",4,share of pig kept on liquid manure catchment systems,pig_on_slurry,share,0.6,0.75,0.9,tnorm_0_1,animal,,
,3,,P_yield_oilseed_rape,kg P / FM dt,0.702,0.78,0.858,posnorm,crop,no,unchanged
,3,,share_K_biogas_input_animal,share,0.7,0.7,0.7,const,crop,,2020
,5,loss rate sewage during treatment (calculated as 1-efficiency),lossrate_N_wastewater,kg lossrate / FM dt,0.57,0.76,0.95,tnorm_0_1,waste,no,unchanged
,1,,K_content_nuts,g K / 100 gram product,0.66,0.723,0.786,posnorm,consumption,yes,unchanged
,1,parsley,N_content_parsley_gr_100gr,g N / 100 gram product,0.7029,0.71,0.7171,posnorm,crop,no,unchanged
,3,,slaughter_weight_fraction_pig,share,0.675,0.75,0.825,tnorm_0_1,animal,,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,,N_excretion_hen,kg N / animal / year,0.6,0.75,0.9,posnorm,animal,,
,1,Oilseed rape,N_leftover_oilseed_rape,kg N / FM dt,0.693,0.7,0.707,posnorm,crop,no,unchanged
,3,,slaughter_weight_fraction_poultry,share,0.639,0.71,0.781,tnorm_0_1,animal,,unchanged
is this variable used?,1,share of waste water with denitrification and P elimination,share_wastewater_denitrified,kg share / FM dt,0.64647,0.653,0.65953,tnorm_0_1,waste,,unchanged
,3,,edible_fraction_pig,share,0.612,0.68,0.748,tnorm_0_1,animal,,unchanged
,1,Oilseed rape,yield_share_oilseed_rape,kg yield / FM dt,0.6233337,0.62963,0.6359263,tnorm_0_1,crop,no,unchanged
,2,dry matter content compost consumption,dm_compost_consumption,share,0.56,0.69,0.81,tnorm_0_1,waste,yes,unchanged
,3,,edible_fraction_poultry,share,0.576,0.64,0.704,tnorm_0_1,animal,,unchanged
,3,,share_P_biogas_input_animal,share,0.53,0.53,0.53,const,crop,,2020
,3,,slaughter_weight_fraction_others,share,0.558,0.62,0.682,tnorm_0_1,animal,,unchanged
,1,,P_content_cheese,g P / 100 gram product,0.5643,0.57,0.5757,posnorm,consumption,no,unchanged
,4,Summer barley,summer_barley_to_animal,,0.5,0.5,0.5,const,crop,no,unchanged
,4,Common oat,oat_to_animal,,0.5,0.5,0.5,const,crop,no,unchanged
,4,Oilseed rape,oilseed_rape_to_animal,,0.5,0.5,0.5,const,crop,no,unchanged
,4,Sugar beet,sugar_beet_to_animal,,0.5,0.5,0.5,const,crop,no,unchanged
,4,Summer barley,summer_barley_to_consumption,,0.5,0.5,0.5,const,crop,no,unchanged
,4,Common oat,oat_to_consumption,,0.5,0.5,0.5,const,crop,no,unchanged
,4,Oilseed rape,oilseed_rape_to_consumption,,0.5,0.5,0.5,const,crop,no,unchanged
,4,Sugar beet,sugar_beet_to_sunsumption,,0.5,0.5,0.5,const,crop,no,unchanged
,3,,slaughter_weight_fraction_cattle,share,0.522,0.58,0.638,tnorm_0_1,animal,,unchanged
,2,dry matter content compost horticulture,dm_compost_horticulture,share,0.49,0.59,0.687,tnorm_0_1,waste,yes,unchanged
,3,,edible_fraction_other,share,0.504,0.56,0.616,tnorm_0_1,animal,,unchanged
,1,Oat,yield_share_oat,kg yield / FM dt,0.5185719,0.52381,0.5290481,tnorm_0_1,crop,no,unchanged
,3,,P_yield_beans,kg P / FM dt,0.468,0.52,0.572,posnorm,crop,no,unchanged
,1,sweet_corn,N_content_sweet_corn_gr_100gr,g N / 100 gram product,0.5148,0.52,0.5252,posnorm,crop,no,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,calculated from N√§hrstoffbericht,manure_N_to_PtwoOfive_other_poultry,share,0.41,0.5125,0.615,tnorm_0_1,animal,no,
is this variable used?,3,dry matter content green waste,dm_green_waste,share,0.46,0.5815,0.703,tnorm_0_1,waste,yes,unchanged
,3,Winter wheat,K_yield_winter_weat,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,3,,K_yield_summer_weat,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,3,,K_yield_rye,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,3,,K_yield_winter_barley,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,3,,K_yield_summer_barley,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,3,,K_yield_oat,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,3,,K_yield_triticale,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,3,,K_yield_potato,share K in dm,0.0045,0.005,0.0055,tnorm_0_1,crop,no,unchanged
,1,Winter wheat,N_leftover_winter_wheat,kg N / FM dt,0.495,0.5,0.505,posnorm,crop,no,unchanged
,1,Summer wheat,N_leftover_summer_wheat,kg N / FM dt,0.495,0.5,0.505,posnorm,crop,no,unchanged
,1,Rye,N_leftover_rye,kg N / FM dt,0.495,0.5,0.505,posnorm,crop,no,unchanged
,1,Winter barley,N_leftover_winter_barley,kg N / FM dt,0.495,0.5,0.505,posnorm,crop,no,unchanged
,1,Summer barley,N_leftover_summer_barley,kg N / FM dt,0.495,0.5,0.505,posnorm,crop,no,unchanged
,1,Oat,N_leftover_oat,kg N / FM dt,0.495,0.5,0.505,posnorm,crop,no,unchanged
,1,Triticale,N_leftover_triticale,kg N / FM dt,0.495,0.5,0.505,posnorm,crop,no,unchanged
,3,,K_leftover_sugar_beet,kg K / FM dt,0.45,0.5,0.55,posnorm,crop,no,unchanged
,1,Corn,yield_share_corn,kg yield / FM dt,0.495,0.5,0.505,tnorm_0_1,crop,no,unchanged
,1,Fodder peas,yield_share_fodder_peas,kg yield / FM dt,0.495,0.5,0.505,tnorm_0_1,crop,no,unchanged
,1,Beans,yield_share_beans,kg yield / FM dt,0.495,0.5,0.505,tnorm_0_1,crop,no,unchanged
,4,share of grazzland grazed; mowing is 1- the value,share_grazing,kg share / FM dt,0.4,0.5,0.6,tnorm_0_1,crop,no,unchanged
,3,offal,consume_offal,kg / person / year,0.45,0.5,0.55,posnorm,consumption,,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,calculatef from N√§hrstoffbericht,manure_N_to_PtwoOfive_hen,share,0.39464,0.4933,0.59196,tnorm_0_1,animal,no,
,3,,edible_fraction_cattle,share,0.468,0.52,0.572,tnorm_0_1,animal,,unchanged
,1,calculated based on total milk,N_content_milk,gr N / 100 gram product,0.5148,0.52,0.5252,posnorm,animal,no,unchanged
,1,,convert_phosphorous_pentoxide_to_p,conversion factor,0.4364,0.4364,0.4364,const,,,unchanged
,3,,P_yield_fodder_peas,kg P / FM dt,0.432,0.48,0.528,posnorm,crop,no,unchanged
,1,Rye,yield_share_rye,kg yield / FM dt,0.4689432,0.47368,0.4784168,tnorm_0_1,crop,no,unchanged
,1,Triticale,yield_share_triticale,kg yield / FM dt,0.4689432,0.47368,0.4784168,tnorm_0_1,crop,no,unchanged
,1,,K_content_cocoa,g K / 100 gram product,0.4554,0.46,0.4646,posnorm,consumption,no,unchanged
,1,spinash,N_content_spinash_gr_100gr,g N / 100 gram product,0.4455,0.45,0.4545,posnorm,crop,no,unchanged
,1,,K_content_tree_fruits,g K / 100 gram product,0.405,0.6255,0.846,posnorm,consumption,yes,unchanged
,1,Winter wheat,yield_share_winter_wheat,kg yield / FM dt,0.4399956,0.44444,0.4488844,tnorm_0_1,crop,no,unchanged
,1,Summer wheat,yield_share_summer_wheat,kg yield / FM dt,0.4399956,0.44444,0.4488844,tnorm_0_1,crop,no,unchanged
,1,Summer barley,yield_share_summer_barley,kg yield / FM dt,0.4399956,0.44444,0.4488844,tnorm_0_1,crop,no,unchanged
,1,,K_content_potato,g K / 100 gram product,0.4,0.45,0.5,posnorm,consumption,yes,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,calulcated from N√§hrstoffbericht 2017 p. 25,manure_N_to_PtwoOfive_sheep,share,0.34728,0.4341,0.52092,tnorm_0_1,animal,no,
"N‰hrstoffbericht 2017, Table 1, p.25",4,calulcated from N√§hrstoffbericht 2017 p. 25,manure_N_to_PtwoOfive_calf,share,0.34136,0.4267,0.51204,tnorm_0_1,animal,no,
,5,,others_housingloss_rate,share,0.3,0.4,0.5,tnorm_0_1,animal,,
,1,arugula,N_content_arugula_gr_100gr,g N / 100 gram product,0.4158,0.42,0.4242,posnorm,crop,no,unchanged
,3,,K_yield_corn,share K in dm,0.003735,0.00415,0.004565,tnorm_0_1,crop,no,unchanged
,1,Winter barley,yield_share_winter_barley,kg yield / FM dt,0.4076424,0.41176,0.4158776,tnorm_0_1,crop,no,unchanged
,1,Sugar beet,yield_share_sugar_beet,kg yield / FM dt,0.4076424,0.41176,0.4158776,tnorm_0_1,crop,no,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,calulcated from N√§hrstoffbericht 2017 p. 25,manure_N_to_PtwoOfive_pig,share,0.3636,0.4076,0.4516,tnorm_0_1,animal,yes,
,1,Sugar beet,N_leftover_sugar_beet,kg N / FM dt,0.396,0.4,0.404,posnorm,crop,no,unchanged
,3,,share_N_biogas_input_animal,share,0.342,0.38,0.418,tnorm_0_1,crop,,2020
,1,,P_content_nuts,g P / 100 gram product,0.34,0.403,0.466,posnorm,consumption,yes,unchanged
,1,,P_content_fish,g P / 100 gram product,0.37224,0.376,0.37976,posnorm,consumption,no,unchanged
,1,,N_content_cream,g N / 100 gram product,0.3663,0.37,0.3737,posnorm,consumption,,unchanged
,1,share of straw harvested and used for animal bedding of cereals,straw_share,kg straw / FM dt,0.33,0.33,0.33,const,crop,no,unchanged
,1,,K_content_fish,g K / 100 gram product,0.33,0.379,0.428,posnorm,consumption,yes,unchanged
,1,Mais silage 5,share_mais_silage,share of total agricultural area,0.35838,0.362,0.36562,tnorm_0_1,crop,no,2020
"N‰hrstoffbericht 2017, Table 1, p.25",4,calulcated from N√§hrstoffbericht 2017 p. 25,manure_N_to_PtwoOfive_bull,share,0.28936,0.3617,0.43404,tnorm_0_1,animal,no,
,3,,K_yield_mais_silage,share K in dm,0.003195,0.00355,0.003905,tnorm_0_1,crop,no,unchanged
,3,,K_content_vegetables,g K / 100 gram product,0.2952,0.328,0.3608,posnorm,consumption,yes,unchanged
,3,Winter wheat,P_yield_winter_weat,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,3,,P_yield_summer_weat,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,3,,P_yield_rye,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,3,,P_yield_winter_barley,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,3,,P_yield_summer_barley,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,3,,P_yield_oat,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,3,,P_yield_triticale,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,3,,P_yield_corn,kg P / FM dt,0.315,0.35,0.385,posnorm,crop,no,unchanged
,1,Potato,N_yield_potato,kg N / FM dt,0.3465,0.35,0.3535,posnorm,crop,no,unchanged
,1,,K_content_pork,g K / 100 gram product,0.306,0.351,0.396,posnorm,consumption,yes,unchanged
,1,,K_content_beef,g K / 100 gram product,0.33462,0.338,0.34138,posnorm,consumption,no,unchanged
,1,Mais silage,dm_mais_silage,,0.3267,0.33,0.3333,tnorm_0_1,crop,no,unchanged
,1,,N_content_potato,g N / 100 gram product,0.3267,0.33,0.3333,posnorm,consumption,,unchanged
,1,,K_content_condensed_milk,g K / 100 gram product,0.295,0.326,0.357,posnorm,consumption,yes,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,calulcated from N√§hrstoffbericht 2017 p. 25,manure_N_to_PtwoOfive_dairy,share,0.2857,0.367,0.4483,tnorm_0_1,animal,yes,
,5,,cattle_housingloss_rate_solid,share,0.225,0.3,0.375,tnorm_0_1,animal,,
,5,,pig_housinglosss_rate_solid,share,0.225,0.3,0.375,tnorm_0_1,animal,,
,1,,P_content_black_tea,g P / 100 gram product,0.31086,0.314,0.31714,posnorm,consumption,no,unchanged
,1,,K_content_offal,g K / 100 gram product,0.281,0.324,0.367,posnorm,consumption,yes,unchanged
,1,asparagus,N_content_asparagus_gr_100gr,g N / 100 gram product,0.3069,0.31,0.3131,posnorm,crop,no,unchanged
,3,,K_content_poultry,g K2O / 100 g,0.279,0.31,0.341,posnorm,animal,,unchanged
,1,,P_content_offal,g P / 100 gram product,0.279,0.306,0.333,posnorm,consumption,yes,unchanged
,1,,P_content_herb_tea,g P / 100 gram product,0.3069,0.31,0.3131,posnorm,consumption,no,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,calulcated from N√§hrstoffbericht 2017 p. 25,manure_N_to_PtwoOfive_heifer,share,0.24624,0.3078,0.36936,tnorm_0_1,animal,no,
,3,,K_leftover_potato,kg K / FM dt,0.27,0.3,0.33,posnorm,crop,no,unchanged
,1,,K_content_other_meat,g K / 100 gram product,0.29106,0.294,0.29694,posnorm,consumption,no,unchanged
,1,lambs_lettuce,N_content_lambs_lettuce_gr_100gr,g N / 100 gram product,0.2871,0.29,0.2929,posnorm,crop,no,unchanged
,3,,K_content_female_cattle,g K2O / 100 g,0.261,0.29,0.319,posnorm,animal,,unchanged
,3,,K_content_male_cattle,g K2O / 100 g,0.261,0.29,0.319,posnorm,animal,,unchanged
,3,,K_content_horse,g K2O / 100 g,0.261,0.29,0.319,posnorm,animal,,unchanged
,3,,K_content_sheep_meat,g K / 100 gram product,0.258,0.2885,0.319,posnorm,consumption,yes,unchanged
,1,,P_content_cocoa,g P / 100 gram product,0.2772,0.28,0.2828,posnorm,consumption,no,unchanged
,4,Potato,potato_to_animal,,0.25,0.25,0.25,const,crop,no,unchanged
,3,,mais_silage_to_biogas,,0.25,0.25,0.25,const,crop,no,unchanged
,3,dry matter content organic solid waste,dm_ofmsw,share,0.234,0.2825,0.331,tnorm_0_1,waste,yes,unchanged
,1,radishes,N_content_radishes_gr_100gr,g N / 100 gram product,0.2376,0.24,0.2424,posnorm,crop,no,unchanged
,3,,K_content_pig,g K2O / 100 g,0.216,0.24,0.264,posnorm,animal,,unchanged
,3,,K_content_sheep,g K2O / 100 g,0.216,0.24,0.264,posnorm,animal,,unchanged
,3,,K_content_poultry_meat,g K / 100 gram product,0.208,0.264,0.32,posnorm,consumption,yes,unchanged
,1,Sugar beet,dm_sugar_beet,,0.2277,0.23,0.2323,tnorm_0_1,crop,no,unchanged
,1,Potato,dm_potato,,0.2178,0.22,0.2222,tnorm_0_1,crop,no,unchanged
,1,cabbage,N_content_cabbage_gr_100gr,g N / 100 gram product,0.2178,0.22,0.2222,posnorm,crop,no,unchanged
,1,,N_content_dried_fruit,g N / 100 gram product,0.2178,0.22,0.2222,posnorm,consumption,,unchanged
,1,,P_content_poultry_meat,g P / 100 gram product,0.20988,0.212,0.21412,posnorm,consumption,no,unchanged
,5,,pig_housinglosss_rate_liquid,share,0.15,0.2,0.25,tnorm_0_1,animal,,
,3,,K_yield_sugar_beet,share K in dm,0.00189,0.0021,0.00231,tnorm_0_1,crop,no,unchanged
,3,,K_leftover_corn,kg K / FM dt,0.189,0.21,0.231,posnorm,crop,no,unchanged
,1,Potato,N_leftover_potato,kg N / FM dt,0.198,0.2,0.202,posnorm,crop,no,unchanged
,4,,P_content_other_meat,g P / 100 gram product,0.1536,0.192,0.2304,posnorm,consumption,no,unchanged
,1,,P_content_coffee,g P / 100 gram product,0.19008,0.192,0.19392,posnorm,consumption,no,unchanged
,1,onion,N_content_onion_gr_100gr,g N / 100 gram product,0.1881,0.19,0.1919,posnorm,crop,no,unchanged
,1,lettuce,N_content_lettuce_gr_100gr,g N / 100 gram product,0.1881,0.19,0.1919,posnorm,crop,no,unchanged
,1,celery,N_content_celery_gr_100gr,g N / 100 gram product,0.1881,0.19,0.1919,posnorm,crop,no,unchanged
,1,,K_content_legumes,g K / 100 gram product,0.2268,0.252,0.2772,posnorm,consumption,yes,unchanged
,1,Sugar beet,N_yield_sugar_beet,kg N / FM dt,0.1782,0.18,0.1818,posnorm,crop,no,unchanged
,1,pumpkin,N_content_pumpkin_gr_100gr,g N / 100 gram product,0.1782,0.18,0.1818,posnorm,crop,no,unchanged
,1,berries,N_content_berries_gr_100gr,g N / 100 gram product,0.1782,0.18,0.1818,posnorm,crop,no,unchanged
,1,,K_content_rye,g K / 100 gram product,0.156,0.1685,0.181,posnorm,consumption,yes,unchanged
,3,,P_leftover_oilseed_rape,kg P / FM dt,0.153,0.17,0.187,posnorm,crop,no,unchanged
,1,Potato,yield_share_potato,kg yield / FM dt,0.1650033,0.16667,0.1683367,tnorm_0_1,crop,no,unchanged
,1,,P_content_pork,g P / 100 gram product,0.15,0.175,0.2,posnorm,consumption,yes,unchanged
,1,,P_content_condensed_milk,g P / 100 gram product,0.15,0.1795,0.209,posnorm,consumption,yes,unchanged
,1,Winter wheat,share_winter_wheat,share of total agricultural area,0.16335,0.165,0.16665,tnorm_0_1,crop,no,2020
,1,,K_content_citrus_fruits,g K / 100 gram product,0.148,0.169,0.19,posnorm,consumption,yes,unchanged
,1,carrot,N_content_carrot_gr_100gr,g N / 100 gram product,0.1584,0.16,0.1616,posnorm,crop,no,unchanged
,1,,N_content_vegetables,g N / 100 gram product,0.1584,0.16,0.1616,posnorm,consumption,,unchanged
"N‰hrstoffbericht 2017, Table 3, p.27",4,"calculated as 1-rate in the N√§hrstoffreport, share of manure lost in storage process",cattle_housingloss_rate_liquid,share,0.12,0.15,0.18,tnorm_0_1,animal,,
"N‰hrstoffbericht 2017, Table 1, p.25",4,,N_excretion_other_poultry,kg N / animal / year,0.128,0.16,0.192,posnorm,animal,,
is this variable used?,1,calculated based on total milk,share_milk_other_use,share,0.14652,0.148,0.14948,tnorm_0_1,animal,no,2020
,1,,P_content_beef,g P / 100 gram product,0.13,0.17,0.21,posnorm,consumption,yes,unchanged
,1,,P_content_rye,g P / 100 gram product,0.121,0.128,0.135,posnorm,consumption,yes,unchanged
,3,,P_leftover_winter_wheat,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_summer_wheat,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_rye,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_winter_barley,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_summer_barley,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_oat,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_triticale,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_foder_peas,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,3,,P_leftover_beans,kg P / FM dt,0.117,0.13,0.143,posnorm,crop,no,unchanged
,1,strawberry,N_content_strawberry_gr_100gr,g N / 100 gram product,0.1287,0.13,0.1313,posnorm,crop,no,unchanged
,1,Potato 3,share_potato,share of total agricultural area,0.12771,0.129,0.13029,tnorm_0_1,crop,no,2020
,1,,P_content_legumes,g P / 100 gram product,0.109,0.1195,0.13,posnorm,consumption,yes,unchanged
,1,,K_content_wheat,g K / 100 gram product,0.102,0.105,0.108,posnorm,consumption,yes,unchanged
,1,,P_content_sheep_meat,g P / 100 gram product,0.1,0.145,0.19,posnorm,consumption,yes,unchanged
,1,,N_content_citrus_fruits,g N / 100 gram product,0.1089,0.11,0.1111,posnorm,consumption,,unchanged
,1,,N_content_butter,g N / 100 gram product,0.1089,0.11,0.1111,posnorm,consumption,,unchanged
,1,,P_content_rice,g P / 100 gram product,0.1089,0.11,0.1111,posnorm,consumption,no,unchanged
,1,,K_content_cream,g K / 100 gram product,0.099,0.1235,0.148,posnorm,consumption,yes,unchanged
,1,,K_content_rice,g K / 100 gram product,0.093,0.1115,0.13,posnorm,consumption,yes,unchanged
,1,stone_fruit,N_content_stone_fruit_gr_100gr,g N / 100 gram product,0.099,0.1,0.101,posnorm,crop,no,unchanged
,1,rhubarb,N_content_rhubarb_gr_100gr,g N / 100 gram product,0.099,0.1,0.101,posnorm,crop,no,unchanged
,1,,N_content_potato_starch,g N / 100 gram product,0.099,0.1,0.101,posnorm,consumption,,unchanged
,1,,K_content_cheese,g K / 100 gram product,0.089,0.0955,0.102,posnorm,consumption,yes,unchanged
,3,,P_leftover_corn,kg P / FM dt,0.081,0.09,0.099,posnorm,crop,no,unchanged
,1,Sugar beet 4,share_sugar_beet,share of total agricultural area,0.08118,0.082,0.08282,tnorm_0_1,crop,no,2020
,1,,N_content_beer,g N / 100 gram product,0.0792,0.08,0.0808,posnorm,consumption,,unchanged
,5,,lossrate_P_wastewater,kg lossrate / FM dt,0.06,0.08,0.1,tnorm_0_1,waste,no,unchanged
,1,Winter barley (gerste),share_winter_barley,share of total agricultural area,0.07425,0.075,0.07575,tnorm_0_1,crop,no,2020
,1,,P_content_wheat,g P / 100 gram product,0.07326,0.074,0.07474,posnorm,consumption,no,unchanged
,3,,P_yield_potato,kg P / FM dt,0.063,0.07,0.077,posnorm,crop,no,unchanged
,3,,P_yield_mais_silage,kg P / FM dt,0.063,0.07,0.077,posnorm,crop,no,unchanged
,1,,K_content_sparkling_wine,g K / 100 gram product,0.0693,0.07,0.0707,posnorm,consumption,no,unchanged
,1,,N_content_honey,g N / 100 gram product,0.0594,0.06,0.0606,posnorm,consumption,,unchanged
,1,calculated from excel file,share_sewage_for_agriculture,kg share / FM dt,0.0569943,0.05757,0.0581457,tnorm_0_1,waste,,2020
,2,N content sewage sludge,N_content_sewage_sludge,share of N to total mass,0.05415,0.057,0.05985,tnorm_0_1,waste,,unchanged
,1,,K_content_beer,g K / 100 gram product,0.05445,0.055,0.05555,posnorm,consumption,no,unchanged
,3,,P_leftover_sugar_beet,kg P / FM dt,0.045,0.05,0.055,posnorm,crop,no,unchanged
,1,apple,N_content_apple_gr_100gr,g N / 100 gram product,0.0495,0.05,0.0505,posnorm,crop,no,unchanged
,1,,N_content_tree_fruits,g N / 100 gram product,0.0495,0.05,0.0505,posnorm,consumption,,unchanged
,1,,P_content_potato,g P / 100 gram product,0.045,0.048,0.051,posnorm,consumption,yes,unchanged
,1,,P_content_tree_fruits,g P / 100 gram product,0.0495,0.05,0.0505,posnorm,consumption,no,unchanged
,1,,P_content_cream,g P / 100 gram product,0.043,0.056,0.069,posnorm,consumption,yes,unchanged
,1,,K_content_honey,g K / 100 gram product,0.04455,0.045,0.04545,posnorm,consumption,no,unchanged
,1,,P_yield_sugar_beet,kg P / FM dt,0.0396,0.04,0.0404,posnorm,crop,no,unchanged
,1,,P_content_vegetables,g P / 100 gram product,0.034,0.039,0.044,posnorm,consumption,yes,unchanged
,1,,P_content_beer,g P / 100 gram product,0.03168,0.032,0.03232,posnorm,consumption,no,unchanged
